Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region
JM-15655;Jim Mitchum;Corporate;US;Glendale;Arizon;85301;West
JM-15655;Jim Mitchum;Corporate;US;Glendale;Arisona;85301;West
DM-12955;Dario Medina;Corporate;US;Mesa;Arizona;85204;West
BS-11590;Brendan Sweed;Corporate;US;Gilbert;Arizona;85234;West
ES-14080;Erin Smith;Corporate;US;Tempe;Arizona;85281;West
AH-10120;Adrian Hane;Home Office;US;Tucson;Arizona;85705;West
RF-19345;Randy Ferguson;Corporate;US;Phoenix;Arizona;85023;West
GH-14410;Gary Hansen;Home Office;US;Glendale;Arizona;85301;West
TB-21280;Toby Braunhardt;Consumer;US;Phoenix;Arizona;85023;West
ND-18460;Neil Ducich;Corporate;US;Chandler;Arizona;85224;West
CT-11995;Carol Triggs;Consumer;US;Tucson;Arizona;85705;West
ON-18715;Odella Nelson;Corporate;US;Tempe;Arizona;85281;West
TS-21340;Toby Swindell;Consumer;US;Scottsdale;Arizona;85254;West
PB-19150;Philip Brown;Consumer;US;Avondale;Arizona;85323;West
BF-11275;Beth Fritzler;Corporate;US;Tucson;Arizona;85705;West
RP-19390;Resi Pölking;Consumer;US;Phoenix;Arizona;85023;West
SD-20485;Shirley Daniels;Home Office;US;Phoenix;Arizona;85023;West
MB-17305;Maria Bertelson;Consumer;US;Glendale;Arizona;85301;West
SM-20005;Sally Matthias;Consumer;US;Scottsdale;Arizona;85254;West
LP-17080;Liz Pelletier;Consumer;US;Tucson;Arizona;85705;West
RD-19720;Roger Demir;Consumer;US;Phoenix;Arizona;85023;West
HJ-14875;Heather Jas;Home Office;US;Mesa;Arizona;85204;West
MT-17815;Meg Tillman;Consumer;US;Scottsdale;Arizona;85254;West
CY-12745;Craig Yedwab;Corporate;US;Gilbert;Arizona;85234;West
CP-12085;Cathy Prescott;Corporate;US;Tucson;Arizona;85705;West
SC-20725;Steven Cartwright;Consumer;US;Peoria;Arizona;85345;West
MS-17365;Maribeth Schnelling;Consumer;US;Phoenix;Arizona;85023;West
SN-20560;Skye Norling;Home Office;US;Peoria;Arizona;85345;West
RW-19540;Rick Wilson;Corporate;US;Mesa;Arizona;85204;West
CK-12760;Cyma Kinney;Corporate;US;Glendale;Arizona;85301;West
PF-19120;Peter Fuller;Consumer;US;Gilbert;Arizona;85234;West
TH-21100;Thea Hendricks;Consumer;US;Glendale;Arizona;85301;West
HR-14830;Harold Ryan;Corporate;US;Gilbert;Arizona;85234;West
PS-18970;Paul Stevenson;Home Office;US;Phoenix;Arizona;85023;West
TG-21310;Toby Gnade;Consumer;US;Mesa;Arizona;85204;West
GH-14425;Gary Hwang;Consumer;US;Tucson;Arizona;85705;West
CM-11935;Carlos Meador;Consumer;US;Tucson;Arizona;85705;West
EH-13945;Eric Hoffmann;Consumer;US;Tempe;Arizona;85281;West
GZ-14470;Gary Zandusky;Consumer;US;Bullhead City;Arizona;86442;West
AG-10495;Andrew Gjertsen;Corporate;US;Peoria;Arizona;85345;West
BB-10990;Barry Blumstein;Corporate;US;Sierra Vista;Arizona;85635;West
PG-18820;Patrick Gardner;Consumer;US;Glendale;Arizona;85301;West
DM-12955;Dario Medina;Corporate;US;Yuma;Arizona;85364;West
TH-21235;Tiffany House;Corporate;US;Yuma;Arizona;85364;West
MH-17785;Maya Herman;Corporate;US;Glendale;Arizona;85301;West
