Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region
EB-13705;Ed Braxton;Corporate;US;San Francisco;Cacifornia;94122;West
EB-13705;Ed Braxton;Corporate;US;San Francisco;Calfornia;94122;West
CS-12505;Cindy Stewart;Consumer;US;Pomona;California;91767;West
EH-14125;Eugene Hildebrand;Home Office;US;Lakewood;California;90712;West
BP-11230;Benjamin Patterson;Consumer;US;Los Angeles;California;90045;West
TS-21370;Todd Sumrall;Corporate;US;Los Angeles;California;90049;West
EH-13990;Erica Hackney;Consumer;US;Sacramento;California;95823;West
AI-10855;Arianne Irving;Consumer;US;Brentwood;California;94513;West
AY-10555;Andy Yotov;Corporate;US;Los Angeles;California;90049;West
GM-14680;Greg Matthias;Consumer;US;San Jose;California;95123;West
GR-14560;Georgia Rosenberg;Corporate;US;San Francisco;California;94110;West
JM-15265;Janet Molinari;Corporate;US;Los Angeles;California;90036;West
BT-11530;Bradley Talbott;Home Office;US;San Diego;California;92037;West
MH-17440;Mark Haberlin;Corporate;US;Escondido;California;92025;West
CK-12760;Cyma Kinney;Corporate;US;San Francisco;California;94122;West
PK-18910;Paul Knutson;Home Office;US;San Francisco;California;94109;West
DH-13675;Duane Huffman;Home Office;US;San Francisco;California;94122;West
AP-10915;Arthur Prichep;Consumer;US;Los Angeles;California;90008;West
EJ-14155;Eva Jacobs;Consumer;US;San Diego;California;92037;West
CK-12595;Clytie Kelty;Consumer;US;San Diego;California;92024;West
GG-14650;Greg Guthrie;Corporate;US;Los Angeles;California;90049;West
RS-19765;Roland Schwarz;Corporate;US;Los Angeles;California;90008;West
DP-13390;Dennis Pardue;Home Office;US;Los Angeles;California;90004;West
DB-13270;Deborah Brumfield;Home Office;US;San Diego;California;92024;West
DE-13255;Deanra Eno;Home Office;US;Los Angeles;California;90008;West
AR-10825;Anthony Rawles;Corporate;US;Los Angeles;California;90004;West
BW-11200;Ben Wallace;Consumer;US;San Francisco;California;94122;West
LR-17035;Lisa Ryan;Corporate;US;Santa Clara;California;95051;West
BF-11170;Ben Ferrer;Home Office;US;Los Angeles;California;90036;West
ED-13885;Emily Ducich;Home Office;US;San Diego;California;92037;West
AJ-10795;Anthony Johnson;Corporate;US;San Francisco;California;94110;West
JL-15835;John Lee;Consumer;US;Los Angeles;California;90049;West
NM-18445;Nathan Mautz;Home Office;US;San Francisco;California;94109;West
EK-13795;Eileen Kiefer;Home Office;US;San Francisco;California;94110;West
KE-16420;Katrina Edelman;Corporate;US;Los Angeles;California;90008;West
LW-17125;Liz Willingham;Consumer;US;Oxnard;California;93030;West
NR-18550;Nick Radford;Consumer;US;Chula Vista;California;91911;West
DS-13030;Darrin Sayre;Home Office;US;San Francisco;California;94122;West
LH-17155;Logan Haushalter;Consumer;US;Oakland;California;94601;West
KD-16345;Katherine Ducich;Consumer;US;Los Angeles;California;90049;West
AH-10030;Aaron Hawkins;Corporate;US;Los Angeles;California;90004;West
GH-14410;Gary Hansen;Home Office;US;Los Angeles;California;90049;West
NP-18325;Naresj Patel;Consumer;US;Oakland;California;94601;West
FM-14215;Filia McAdams;Corporate;US;Los Angeles;California;90032;West
