Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region
KL-16555;Kelly Lampkin;Corporate;US;Colorado Springs;Colorado;80906;West
KL-16555;Kelly Lampkin;Corporate;US;Colorado Springs;Colorato;80906;West
KE-16420;Katrina Edelman;Corporate;US;Aurora;Colorado;80013;West
AP-10915;Arthur Prichep;Consumer;US;Denver;Colorado;80219;West
BS-11755;Bruce Stewart;Consumer;US;Denver;Colorado;80219;West
RA-19915;Russell Applegate;Consumer;US;Denver;Colorado;80219;West
TC-21295;Toby Carlisle;Consumer;US;Thornton;Colorado;80229;West
BF-11005;Barry Franz;Home Office;US;Aurora;Colorado;80013;West
JE-15745;Joel Eaton;Consumer;US;Louisville;Colorado;80027;West
TZ-21580;Tracy Zic;Consumer;US;Louisville;Colorado;80027;West
PW-19240;Pierre Wener;Consumer;US;Louisville;Colorado;80027;West
IM-15070;Irene Maddox;Consumer;US;Colorado Springs;Colorado;80906;West
ZC-21910;Zuschuss Carroll;Consumer;US;Aurora;Colorado;80013;West
MK-17905;Michael Kennedy;Corporate;US;Louisville;Colorado;80027;West
FC-14335;Fred Chung;Corporate;US;Pueblo;Colorado;81001;West
GB-14530;George Bell;Corporate;US;Aurora;Colorado;80013;West
ER-13855;Elpida Rittenbach;Corporate;US;Colorado Springs;Colorado;80906;West
RP-19390;Resi Pölking;Consumer;US;Thornton;Colorado;80229;West
DG-13300;Deirdre Greer;Corporate;US;Denver;Colorado;80219;West
JH-16180;Justin Hirsh;Consumer;US;Pueblo;Colorado;81001;West
AB-10165;Alan Barnes;Consumer;US;Louisville;Colorado;80027;West
SP-20620;Stefania Perrino;Corporate;US;Colorado Springs;Colorado;80906;West
TC-21475;Tony Chapman;Home Office;US;Aurora;Colorado;80013;West
HG-14965;Henry Goldwyn;Corporate;US;Colorado Springs;Colorado;80906;West
SC-20440;Shaun Chance;Corporate;US;Aurora;Colorado;80013;West
BT-11440;Bobby Trafton;Consumer;US;Littleton;Colorado;80122;West
LC-16885;Lena Creighton;Consumer;US;Longmont;Colorado;80501;West
CL-12700;Craig Leslie;Home Office;US;Aurora;Colorado;80013;West
JE-15715;Joe Elijah;Consumer;US;Broomfield;Colorado;80020;West
RC-19825;Roy Collins;Consumer;US;Colorado Springs;Colorado;80906;West
LS-16945;Linda Southworth;Corporate;US;Denver;Colorado;80219;West
SM-20950;Suzanne McNair;Corporate;US;Broomfield;Colorado;80020;West
BP-11185;Ben Peterman;Corporate;US;Arvada;Colorado;80004;West
AS-10225;Alan Schoenberger;Corporate;US;Longmont;Colorado;80501;West
EH-14125;Eugene Hildebrand;Home Office;US;Colorado Springs;Colorado;80906;West
CL-12700;Craig Leslie;Home Office;US;Colorado Springs;Colorado;80906;West
PO-19180;Philisse Overcash;Home Office;US;Louisville;Colorado;80027;West
SH-19975;Sally Hughsby;Corporate;US;Denver;Colorado;80219;West
EH-14005;Erica Hernandez;Home Office;US;Denver;Colorado;80219;West
CC-12610;Corey Catlett;Corporate;US;Denver;Colorado;80219;West
SO-20335;Sean O'Donnell;Consumer;US;Greeley;Colorado;80634;West
LW-17215;Luke Weiss;Consumer;US;Fort Collins;Colorado;80525;West
BP-11095;Bart Pistole;Corporate;US;Louisville;Colorado;80027;West
SE-20110;Sanjit Engle;Consumer;US;Denver;Colorado;80219;West
LH-17020;Lisa Hazard;Consumer;US;Louisville;Colorado;80027;West
TS-21505;Tony Sayre;Consumer;US;Parker;Colorado;80134;West
SC-20845;Sung Chung;Consumer;US;Louisville;Colorado;80027;West
LC-16870;Lena Cacioppo;Consumer;US;Thornton;Colorado;80229;West
BG-11695;Brooke Gillingham;Corporate;US;Louisville;Colorado;80027;West
RH-19495;Rick Hansen;Consumer;US;Denver;Colorado;80219;West
HA-14905;Helen Abelman;Consumer;US;Fort Collins;Colorado;80525;West
HM-14860;Harry Marie;Corporate;US;Loveland;Colorado;80538;West
SR-20425;Sharelle Roach;Home Office;US;Louisville;Colorado;80027;West
NP-18700;Nora Preis;Consumer;US;Denver;Colorado;80219;West
KN-16705;Kristina Nunn;Home Office;US;Fort Collins;Colorado;80525;West
DV-13465;Dianna Vittorini;Consumer;US;Denver;Colorado;80219;West
RA-19945;Ryan Akin;Consumer;US;Commerce City;Colorado;80022;West
JM-15580;Jill Matthias;Consumer;US;Loveland;Colorado;80538;West
RB-19795;Ross Baird;Home Office;US;Denver;Colorado;80219;West
KT-16480;Kean Thornton;Consumer;US;Denver;Colorado;80219;West
SV-20785;Stewart Visinsky;Consumer;US;Pueblo;Colorado;81001;West
JR-15670;Jim Radford;Consumer;US;Colorado Springs;Colorado;80906;West
LT-16765;Larry Tron;Consumer;US;Louisville;Colorado;80027;West
FA-14230;Frank Atkinson;Corporate;US;Denver;Colorado;80219;West
JM-16195;Justin MacKendrick;Consumer;US;Aurora;Colorado;80013;West
LC-16870;Lena Cacioppo;Consumer;US;Aurora;Colorado;80013;West
MM-18055;Michelle Moray;Consumer;US;Aurora;Colorado;80013;West
NC-18625;Noah Childs;Corporate;US;Aurora;Colorado;80013;West
MY-17380;Maribeth Yedwab;Corporate;US;Parker;Colorado;80134;West
ME-17725;Max Engle;Consumer;US;Aurora;Colorado;80013;West
FM-14380;Fred McMath;Consumer;US;Aurora;Colorado;80013;West
TC-21475;Tony Chapman;Home Office;US;Fort Collins;Colorado;80525;West
CS-12130;Chad Sievert;Consumer;US;Englewood;Colorado;80112;West
ON-18715;Odella Nelson;Corporate;US;Denver;Colorado;80219;West
LB-16795;Laurel Beltran;Home Office;US;Pueblo;Colorado;81001;West
TP-21565;Tracy Poddar;Corporate;US;Aurora;Colorado;80013;West
BS-11380;Bill Stewart;Corporate;US;Denver;Colorado;80219;West
DS-13030;Darrin Sayre;Home Office;US;Aurora;Colorado;80013;West
AP-10915;Arthur Prichep;Consumer;US;Fort Collins;Colorado;80525;West
PC-18745;Pamela Coakley;Corporate;US;Loveland;Colorado;80538;West
