Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region
AS-10630;Ann Steele;Home Office;US;Seattle;Washington;98103;West
JD-16015;Joy Daniels;Consumer;US;Seattle;Washington;98115;West
MW-18220;Mitch Webber;Consumer;US;Seattle;Uashington;98103;West
BN-11515;Bradley Nguyen;Consumer;US;Seattle;Washington;98103;West
DB-13060;Dave Brooks;Consumer;US;Seattle;Washington;98115;West
CM-12715;Craig Molinari;Corporate;US;Seattle;Washington;98103;West
MC-17275;Marc Crier;Consumer;US;Pasco;Washington;99301;West
MM-17260;Magdelene Morse;Consumer;US;Seattle;Washington;98105;West
TB-21400;Tom Boeckenhauer;Consumer;US;Seattle;Washington;98105;West
TS-21430;Tom Stivers;Corporate;US;Seattle;Washington;98103;West
EB-14170;Evan Bailliet;Consumer;US;Seattle;Washington;98115;West
Dp-13240;Dean percer;Home Office;US;Seattle;Washington;98115;West
ML-17395;Marina Lichtenstein;Corporate;US;Seattle;Washington;98103;West
MH-17785;Maya Herman;Corporate;US;Seattle;Washington;98105;West
PP-18955;Paul Prost;Home Office;US;Seattle;Washington;98115;West
GM-14680;Greg Matthias;Consumer;US;Seattle;Washington;98105;West
HR-14830;Harold Ryan;Corporate;US;Seattle;Washington;98103;West
CS-12400;Christopher Schild;Home Office;US;Seattle;Washington;98115;West
MZ-17515;Mary Zewe;Corporate;US;Seattle;Washington;98115;West
CL-12565;Clay Ludtke;Consumer;US;Seattle;Washington;98115;West
MC-18130;Mike Caudle;Corporate;US;Seattle;Washington;98115;West
Dl-13600;Dorris liebe;Corporate;US;Seattle;Washington;98105;West
SW-20755;Steven Ward;Corporate;US;Seattle;Washington;98115;West
JK-15625;Jim Karlsson;Consumer;US;Olympia;Washington;98502;West
SC-20725;Steven Cartwright;Consumer;US;Seattle;Washington;98115;West
PJ-18835;Patrick Jones;Corporate;US;Seattle;Washington;98115;West
DB-13615;Doug Bickford;Consumer;US;Seattle;Washington;98105;West
EH-13990;Erica Hackney;Consumer;US;Bellevue;Washington;98006;West
RP-19390;Resi Pölking;Consumer;US;Seattle;Washington;98103;West
IG-15085;Ivan Gibson;Consumer;US;Seattle;Washington;98103;West
GH-14425;Gary Hwang;Consumer;US;Seattle;Washington;98105;West
ZC-21910;Zuschuss Carroll;Consumer;US;Edmonds;Washington;98026;West
AB-10015;Aaron Bergman;Consumer;US;Seattle;Washington;98103;West
AI-10855;Arianne Irving;Consumer;US;Kent;Washington;98031;West
AH-10585;Angele Hood;Consumer;US;Seattle;Washington;98105;West
BF-11020;Barry Französisch;Corporate;US;Seattle;Washington;98105;West
MG-17650;Matthew Grinstein;Home Office;US;Seattle;Washington;98103;West
JH-15985;Joseph Holt;Consumer;US;Seattle;Washington;98103;West
SC-20260;Scott Cohen;Corporate;US;Seattle;Washington;98115;West
CS-12130;Chad Sievert;Consumer;US;Seattle;Washington;98105;West
JF-15415;Jennifer Ferguson;Consumer;US;Spokane;Washington;99207;West
BT-11305;Beth Thompson;Home Office;US;Seattle;Washington;98105;West
JH-15985;Joseph Holt;Consumer;US;Seattle;Washington;98115;West
DK-13090;Dave Kipp;Consumer;US;Seattle;Washington;98103;West
VW-21775;Victoria Wilson;Corporate;US;Bellevue;Washington;98006;West
FH-14365;Fred Hopkins;Corporate;US;Seattle;Washington;98115;West
JE-15475;Jeremy Ellison;Consumer;US;Seattle;Washington;98103;West
KB-16405;Katrina Bavinger;Home Office;US;Seattle;Washington;98105;West
MC-17275;Marc Crier;Consumer;US;Seattle;Washington;98103;West
MC-17575;Matt Collins;Consumer;US;Seattle;Washington;98103;West
NK-18490;Neil Knudson;Home Office;US;Seattle;Washington;98105;West
LC-17140;Logan Currie;Consumer;US;Seattle;Washington;98103;West
JL-15850;John Lucas;Consumer;US;Seattle;Washington;98105;West
DO-13435;Denny Ordway;Consumer;US;Seattle;Washington;98103;West
RD-19480;Rick Duston;Consumer;US;Olympia;Washington;98502;West
KC-16540;Kelly Collister;Consumer;US;Seattle;Washington;98115;West
JC-15775;John Castell;Consumer;US;Seattle;Washington;98115;West
CC-12670;Craig Carreira;Consumer;US;Seattle;Washington;98103;West
JF-15490;Jeremy Farry;Consumer;US;Seattle;Washington;98105;West
KL-16645;Ken Lonsdale;Consumer;US;Seattle;Washington;98105;West
JO-15550;Jesus Ocampo;Home Office;US;Seattle;Washington;98105;West
MV-17485;Mark Van Huff;Consumer;US;Seattle;Washington;98115;West
TW-21025;Tamara Willingham;Home Office;US;Seattle;Washington;98105;West
